 # Conectividades nodais
          1           1           1           2           8           7
          2           1           2           3           9           8
          3           1           3           4          10           9
          4           1           4           5          11          10
          5           1           5           6          12          11
          6           1           7           8          14          13
          7           1           8           9          15          14
          8           1           9          10          16          15
          9           1          10          11          17          16
         10           1          11          12          18          17
